age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,Non-Private,201080,14,Married,Other,Husband,White,Male,0,0,40,US,1
18,Private,182042,7,Non-Married,Other,Non-Husband,White,Female,0,0,19,US,0
34,Non-Private,136331,13,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
69,Non-Private,204645,10,Married,Other,Husband,White,Male,9386,0,72,US,1
33,Private,177727,9,Married,Other,Husband,White,Male,0,0,40,US,1
26,Private,240842,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
21,Private,34310,11,Married,Other,Husband,White,Male,0,2603,40,US,0
33,Private,117186,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
62,Non-Private,176839,14,Married,Managerial-Specialist,Husband,White,Male,0,0,10,US,0
52,Private,74275,10,Married,Other,Husband,White,Male,7298,0,45,US,1
21,Private,369643,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
34,Private,134737,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
38,Private,111128,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
31,Private,103860,6,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
53,Private,113995,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
67,Private,123393,7,Married,Other,Husband,White,Male,0,0,40,US,0
59,Private,98361,10,Married,Other,Husband,White,Male,0,0,40,US,1
28,Private,22422,9,Non-Married,Other,Non-Husband,White,Male,0,0,55,US,0
27,Private,217200,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
51,Private,263439,13,Married,Other,Husband,White,Male,0,0,40,US,0
49,Private,294671,13,Married,Other,Husband,White,Male,0,0,50,US,0
63,Non-Private,231777,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
63,Private,100099,5,Married,Other,Husband,White,Male,0,0,40,US,0
