age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
26,0,M,African-American,Male,6,10,0
20,1,F,Other,Male,1,5,0
34,1,M,African-American,Female,0,1,1
38,0,M,African-American,Male,7,197,0
36,0,M,Other,Male,0,2,1
24,1,F,African-American,Male,5,6,0
24,0,F,Other,Male,1,1,1
53,0,F,Other,Male,2,40,1
30,0,F,Other,Male,0,0,1
28,0,F,Other,Male,3,1,1
40,1,M,Other,Male,0,0,1
41,0,F,Other,Male,0,1,1
38,1,F,Other,Female,0,1,1
25,0,M,African-American,Female,0,0,1
34,0,F,Other,Male,0,0,1
32,1,F,Other,Male,5,0,0
49,1,M,African-American,Male,6,0,1
26,1,M,Other,Male,3,0,1
37,1,F,Other,Male,2,1,1
28,0,M,Other,Male,0,1,1
22,0,M,African-American,Male,0,0,0
23,0,M,Other,Female,0,0,1
27,0,M,African-American,Male,3,1,1
26,1,F,Other,Male,8,41,0
46,1,F,Other,Male,3,59,0
29,1,F,Other,Male,6,0,0
25,1,F,Other,Male,5,0,0
23,1,F,African-American,Male,2,6,0
64,0,F,Other,Male,0,108,1
31,1,M,African-American,Male,8,0,0
37,1,F,African-American,Male,13,0,0
21,0,F,African-American,Male,0,2,1
36,1,F,African-American,Female,4,0,0
23,1,F,Other,Female,2,1,1
70,0,M,Other,Male,1,12,1
26,0,M,Other,Male,0,0,1
25,0,F,African-American,Male,1,0,1
34,1,F,Other,Female,0,31,0
33,1,M,African-American,Male,9,14,0
46,0,M,African-American,Male,0,0,1
39,1,F,African-American,Female,3,0,0
66,0,F,African-American,Male,3,2,1
46,0,F,Other,Male,0,0,1
31,1,M,African-American,Male,9,27,0
39,1,F,Other,Male,2,-1,1
26,1,F,African-American,Male,5,6,0
30,1,F,African-American,Female,11,6,0
42,0,F,African-American,Male,0,1,1
26,0,F,African-American,Male,4,0,0
31,1,F,Other,Female,2,1,0
26,1,F,African-American,Male,8,14,0
45,1,F,Other,Male,0,1,0
30,0,F,African-American,Female,1,0,1
31,1,F,Other,Male,4,1,0
32,0,F,Other,Female,0,0,1
51,1,F,Other,Male,4,1,1
22,0,M,African-American,Female,0,1,0
37,0,F,Other,Male,3,2,1
26,1,M,African-American,Male,1,1,0
28,1,F,African-American,Female,2,0,0
29,0,F,Other,Male,0,-1,1
56,0,F,African-American,Male,4,16,0
45,0,F,Other,Male,1,128,1
34,1,F,African-American,Male,11,1,0
32,1,M,Other,Female,1,0,1
25,0,F,African-American,Male,0,0,0
21,1,F,Other,Male,0,1,0
52,0,F,Other,Female,0,0,1
29,0,F,Other,Male,0,1,1
54,0,M,Other,Male,4,3,1
29,1,F,African-American,Female,9,14,0
31,0,F,Other,Male,1,1,1
23,0,F,African-American,Male,4,31,0
70,0,M,Other,Male,0,0,1
22,0,M,African-American,Male,0,53,0
50,1,M,Other,Male,2,0,1
74,0,F,Other,Male,2,9,1
37,1,F,Other,Male,0,35,1
23,0,F,African-American,Male,0,2,0
32,1,F,African-American,Male,2,19,0
21,0,M,African-American,Female,0,1,1
23,1,F,African-American,Female,0,0,0
31,0,M,African-American,Female,0,2,0
32,1,F,African-American,Male,4,1,1
52,1,M,Other,Male,4,1,1
44,0,F,African-American,Male,7,1,1
28,1,M,Other,Male,0,2,1
23,0,M,Other,Male,0,1,0
36,0,F,Other,Female,0,1,1
43,1,M,African-American,Male,15,0,0
64,1,M,African-American,Male,8,0,1
32,0,F,African-American,Male,7,0,1
34,1,F,African-American,Male,16,1,0
31,0,M,Other,Female,0,3,1
33,1,F,African-American,Male,0,37,0
45,0,F,Other,Male,7,1,1
32,0,F,African-American,Male,3,0,1
21,0,F,African-American,Male,0,2,0
34,0,M,Other,Male,3,0,1
23,0,F,Other,Male,0,0,1
35,0,M,Other,Female,4,1,0
38,0,F,Other,Male,0,1,1
28,0,F,African-American,Female,1,0,1
58,0,F,Other,Male,0,0,1
32,0,M,African-American,Male,5,1,1
69,1,M,Other,Male,0,2,1
28,1,M,African-American,Male,2,2,0
60,1,F,Other,Female,9,384,1
53,0,M,African-American,Male,0,0,1
31,1,F,African-American,Male,10,4,0
37,0,F,Other,Male,3,241,0
45,0,M,Other,Female,0,1,1
22,1,F,African-American,Male,0,50,0
25,0,F,African-American,Male,5,36,0
25,0,F,African-American,Male,0,0,0
41,1,F,African-American,Male,3,1,1
20,1,F,Other,Male,1,1,0
45,0,M,Other,Male,0,1,1
48,1,F,African-American,Male,9,3,0
38,1,F,Other,Male,7,1,0
28,1,F,Other,Female,7,6,0
31,1,F,Other,Female,1,0,1
58,0,M,Other,Male,0,0,1
25,0,F,African-American,Male,9,12,0
29,1,F,Other,Male,11,49,0
37,1,F,Other,Male,1,8,0
23,1,F,African-American,Male,6,1,0
27,1,F,African-American,Male,9,0,0
30,1,M,African-American,Male,1,1,0
26,0,F,Other,Male,8,2,1
31,1,F,Other,Male,17,1,0
24,0,F,Other,Male,8,37,0
36,0,F,Other,Male,1,0,0
22,0,M,African-American,Male,0,2,0
29,0,F,African-American,Male,1,290,0
23,1,F,African-American,Female,0,1,0
60,0,F,Other,Female,0,13,0
26,0,M,Other,Male,1,1,1
37,0,M,Other,Male,1,0,1
43,1,F,African-American,Male,0,1,0
39,1,M,Other,Female,0,0,1
44,0,M,Other,Female,0,0,1
41,1,M,African-American,Male,3,2,1
46,0,M,Other,Male,0,0,1
43,1,F,African-American,Male,4,25,1
37,1,M,African-American,Female,23,-1,0
37,1,M,African-American,Male,4,1,1
36,0,M,African-American,Male,1,0,1
26,1,M,African-American,Male,6,1,0
24,0,M,Other,Male,0,1,1
20,1,F,Other,Male,8,1,0
28,0,F,African-American,Male,4,1,1
45,0,M,Other,Female,5,0,1
38,1,F,Other,Male,2,9,1
32,1,F,African-American,Female,6,3,1
46,0,F,Other,Female,2,19,0
37,0,F,Other,Male,11,1,1
23,1,F,African-American,Male,1,15,0
21,1,F,African-American,Male,1,86,0
42,0,F,Other,Male,0,1,1
50,0,F,Other,Male,10,0,1
28,1,F,African-American,Male,7,1,0
38,1,F,African-American,Male,10,10,1
31,0,F,Other,Female,14,0,0
32,0,F,African-American,Male,7,5,1
29,0,M,African-American,Male,2,50,1
26,1,F,African-American,Male,0,1,1
23,1,F,Other,Male,3,3,0
24,1,F,Other,Male,1,3,0
22,1,F,African-American,Female,0,0,1
50,0,F,Other,Male,0,2,1
37,1,F,African-American,Male,6,0,1
41,0,F,Other,Male,5,1,1
45,0,F,Other,Male,0,1,1
26,0,M,Other,Male,0,2,1
57,1,F,African-American,Male,23,30,0
21,1,M,Other,Male,0,0,1
37,0,F,Other,Male,9,2,0
29,0,M,Other,Male,1,43,1
26,1,F,Other,Male,5,35,1
27,0,F,Other,Male,8,68,0
40,1,F,Other,Male,8,0,0
34,1,F,African-American,Male,12,11,0
38,0,M,African-American,Male,5,5,1
29,0,F,African-American,Male,5,2,0
35,0,F,African-American,Male,8,239,0
52,1,F,African-American,Male,7,117,0
37,1,M,African-American,Male,2,0,0
22,0,F,Other,Male,0,57,0
40,0,F,African-American,Male,1,75,1
37,1,M,African-American,Male,3,0,0
64,0,M,African-American,Male,0,1,1
33,0,F,Other,Male,0,0,1
20,0,F,African-American,Male,0,1,1
37,1,M,Other,Male,1,0,1
37,1,M,African-American,Male,11,0,0
54,0,M,Other,Male,2,0,1
40,0,F,Other,Male,1,41,1
27,0,M,African-American,Male,0,0,1
41,0,M,African-American,Female,2,0,1
25,1,F,Other,Male,6,0,0
31,1,M,African-American,Male,11,1,0
37,0,M,Other,Male,2,1,1
30,1,F,African-American,Male,2,1,1
45,0,M,Other,Male,2,2,1
54,0,F,Other,Male,0,-1,1
26,1,F,African-American,Male,24,0,0
21,0,F,African-American,Male,0,0,0
48,0,M,Other,Male,1,167,1
51,0,F,African-American,Male,3,-1,0
30,1,F,African-American,Male,3,2,1
27,0,M,Other,Female,0,1,1
26,1,F,Other,Male,5,1,0
39,0,F,African-American,Male,1,1,1
32,1,F,Other,Female,0,0,1
29,1,M,African-American,Female,9,214,0
55,1,M,African-American,Male,3,69,0
43,0,F,Other,Male,0,2,1
22,1,F,African-American,Male,13,0,0
28,1,F,African-American,Male,6,2,0
38,1,M,African-American,Male,8,9,0
25,1,M,Other,Male,9,6,0
27,0,M,African-American,Female,1,0,1
40,0,F,African-American,Male,3,13,0
28,0,F,Other,Male,6,2,1
20,1,F,Other,Female,0,18,0
61,0,M,Other,Male,0,0,1
21,1,F,African-American,Male,3,1,0
29,1,F,Other,Male,6,0,1
24,1,F,African-American,Male,5,1,0
22,0,M,African-American,Female,0,1,1
43,0,M,African-American,Male,5,14,0
47,0,M,Other,Male,1,1,1
26,0,F,Other,Male,0,0,0
22,0,F,African-American,Male,0,0,1
24,0,M,Other,Female,1,0,1
52,1,F,Other,Male,13,1,0
29,1,M,Other,Male,7,1,0
23,0,M,Other,Male,0,0,1
